"AV.gene","AJ.gene","BV.gene","BJ.gene","n"
"TRAV27","TRAJ42","TRBV19","TRBJ2-7",145
"TRAV38-1","TRAJ52","TRBV19","TRBJ1-2",140
"TRAV27","TRAJ37","TRBV19","TRBJ2-7",104
"TRAV25","TRAJ42","TRBV19","TRBJ2-3",61
"TRAV27","TRAJ42","TRBV19","TRBJ2-3",48
"TRAV27","TRAJ42","TRBV19","TRBJ2-2",47
"TRAV12-2","TRAJ42","TRBV19","TRBJ2-7",37
"TRAV38-2/DV8","TRAJ52","TRBV19","TRBJ1-2",36
"TRAV25","TRAJ42","TRBV19","TRBJ2-2",34
"TRAV8-6","TRAJ42","TRBV19","TRBJ2-7",28
"TRAV5","TRAJ31","TRBV20-1","TRBJ1-3",27
"TRAV5","TRAJ31","TRBV20-1","TRBJ1-2",26
"TRAV27","TRAJ42","TRBV19","TRBJ1-5",25
"TRAV13-1","TRAJ42","TRBV19","TRBJ2-5",21
"TRAV27","TRAJ42","TRBV19","TRBJ2-1",20
"TRAV8-3","TRAJ42","TRBV19","TRBJ2-7",20
"TRAV24","TRAJ49","TRBV6-5","TRBJ1-2",19
"TRAV27","TRAJ20","TRBV29-1","TRBJ1-1",19
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-1",18
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ1-2",18
"TRAV17","TRAJ11","TRBV6-5","TRBJ1-2",18
"TRAV35","TRAJ42","TRBV19","TRBJ2-7",17
"TRAV12-1","TRAJ43","TRBV2","TRBJ2-2",16
"TRAV12-2","TRAJ24","TRBV6-5","TRBJ2-7",16
"TRAV8-1","TRAJ42","TRBV19","TRBJ2-7",16
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-5",15
"TRAV17","TRAJ42","TRBV19","TRBJ2-3",15
"TRAV25","TRAJ42","TRBV19","TRBJ1-5",15
"TRAV27","TRAJ27","TRBV19","TRBJ2-7",15
"TRAV35","TRAJ42","TRBV19","TRBJ1-5",15
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ2-2",14
"TRAV3","TRAJ42","TRBV19","TRBJ2-7",14
"TRAV30","TRAJ42","TRBV19","TRBJ2-3",14
"TRAV29/DV5","TRAJ42","TRBV19","TRBJ2-7",13
"TRAV5","TRAJ42","TRBV19","TRBJ2-7",13
"TRAV8-3","TRAJ40","TRBV4-1","TRBJ2-7",13
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ1-1",12
"TRAV12-3","TRAJ42","TRBV19","TRBJ1-5",12
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-3",12
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-7",12
"TRAV14/DV4","TRAJ52","TRBV19","TRBJ1-5",12
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-7",11
"TRAV12-1","TRAJ29","TRBV20-1","TRBJ2-2",11
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-1",11
"TRAV17","TRAJ23","TRBV20-1","TRBJ2-1",11
"TRAV17","TRAJ33","TRBV28","TRBJ1-4",11
"TRAV27","TRAJ42","TRBV19","TRBJ1-2",11
"TRAV8-1","TRAJ29","TRBV11-2","TRBJ1-1",11
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-5",10
"TRAV1-2","TRAJ33","TRBV6-1","TRBJ2-3",10
"TRAV12-1","TRAJ12","TRBV2","TRBJ2-2",10
"TRAV12-1","TRAJ43","TRBV12-3","TRBJ2-2",10
"TRAV27","TRAJ37","TRBV19","TRBJ2-1",10
"TRAV3","TRAJ42","TRBV19","TRBJ2-3",10
"TRAV1-2","TRAJ33","TRBV6-4","TRBJ2-3",9
"TRAV12-3","TRAJ42","TRBV19","TRBJ2-7",9
"TRAV13-1","TRAJ42","TRBV19","TRBJ2-3",9
"TRAV27","TRAV27","TRBV19","TRBJ2-7",9
"TRAV35","TRAJ50","TRBV12-4","TRBJ1-2",9
"TRAV5","TRAJ37","TRBV29-1","TRBJ1-4",9
"TRAV1-2","TRAJ33","TRBV6-1","TRBJ2-1",8
"TRAV1-2","TRAJ33","TRBV6-4","TRBJ2-1",8
"TRAV12-1","TRAJ28","TRBV7-9","TRBJ2-2",8
"TRAV12-2","TRAJ30","TRBV7-9","TRBJ1-1",8
"TRAV12-2","TRAJ42","TRBV19","TRBJ2-1",8
"TRAV12-3","TRAJ53","TRBV29-1","TRBJ2-7",8
"TRAV13-1","TRAJ50","TRBV19","TRBJ2-7",8
"TRAV17","TRAJ12","TRBV7-9","TRBJ2-1",8
"TRAV22","TRAJ28","TRBV6-2","TRBJ2-1",8
"TRAV25","TRAJ42","TRBV19","TRBJ2-1",8
"TRAV35","TRAJ42","TRBV19","TRBJ2-3",8
"TRAV38-1","TRAJ52","TRBV19","TRBJ2-7",8
"TRAV5","TRAJ23","TRBV29-1","TRBJ1-4",8
"TRAV6","TRAJ42","TRBV19","TRBJ2-3",8
"TRAV8-3","TRAJ21","TRBV28","TRBJ2-2",8
"TRAV9-2","TRAJ42","TRBV27","TRBJ2-3",8
"TRAV1-2","TRAJ12","TRBV6-4","TRBJ2-3",7
"TRAV12-1","TRAJ30","TRBV7-9","TRBJ1-1",7
"TRAV12-1","TRAJ34","TRBV2","TRBJ2-2",7
"TRAV12-1","TRAJ42","TRBV19","TRBJ2-7",7
"TRAV12-1","TRAJ43","TRBV5-1","TRBJ2-2",7
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ2-5",7
"TRAV14/DV4","TRAJ53","TRBV19","TRBJ1-1",7
"TRAV17","TRAJ12","TRBV7-9","TRBJ2-7",7
"TRAV17","TRAJ42","TRBV19","TRBJ2-1",7
"TRAV19","TRAJ52","TRBV29-1","TRBJ1-1",7
"TRAV21","TRAJ40","TRBV19","TRBJ2-2",7
"TRAV27","TRAJ42","TRBV19","TRBJ1-1",7
"TRAV29/DV5","TRAJ32","TRBV7-2","TRBJ2-1",7
"TRAV3","TRAJ36","TRBV19","TRBJ2-2",7
"TRAV35","TRAJ42","TRBV19","TRBJ2-1",7
"TRAV8-6","TRAJ37","TRBV19","TRBJ2-7",7
"TRAV1-2","TRAJ20","TRBV20-1","TRBJ2-1",6
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-2",6
"TRAV1-2","TRAJ6","TRBV10-3","TRBJ1-5",6
"TRAV12-1","TRAJ43","TRBV19","TRBJ2-2",6
"TRAV12-2","TRAJ49","TRBV4-1","TRBJ2-7",6
"TRAV12-3","TRAJ39","TRBV7-9","TRBJ2-1",6
"TRAV12-3","TRAJ42","TRBV19","TRBJ2-5",6
"TRAV12-3","TRAJ49","TRBV6-5","TRBJ1-2",6
"TRAV13-1","TRAJ37","TRBV19","TRBJ2-5",6
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ2-7",6
"TRAV13-2","TRAJ42","TRBV19","TRBJ1-1",6
"TRAV13-2","TRAJ45","TRBV19","TRBJ2-7",6
"TRAV14/DV4","TRAJ12","TRBV7-9","TRBJ1-6",6
"TRAV14/DV4","TRAJ22","TRBV18","TRBJ2-5",6
"TRAV14/DV4","TRAJ42","TRBV19","TRBJ2-7",6
"TRAV21","TRAJ40","TRBV7-2","TRBJ1-2",6
"TRAV24","TRAJ37","TRBV4-1","TRBJ1-2",6
"TRAV26-2","TRAJ43","TRBV7-6","TRBJ1-4",6
"TRAV29/DV5","TRAJ53","TRBV10-3","TRBJ1-2",6
"TRAV35","TRAJ33","TRBV27","TRBJ2-3",6
"TRAV9-2","TRAJ42","TRBV27","TRBJ2-7",6
"TRAV1-2","TRAJ20","TRBV6-4","TRBJ2-3",5
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ2-3",5
"TRAV1-2","TRAJ33","TRBV4-2","TRBJ2-3",5
"TRAV1-2","TRAJ33","TRBV6-1","TRBJ1-1",5
"TRAV1-2","TRAJ33","TRBV6-4","TRBJ1-1",5
"TRAV1-2","TRAJ33","TRBV6-4","TRBJ2-2",5
"TRAV12-1","TRAJ12","TRBV2","TRBJ2-7",5
"TRAV12-1","TRAJ28","TRBV6-1","TRBJ2-7",5
"TRAV12-1","TRAJ31","TRBV29-1","TRBJ2-7",5
"TRAV12-1","TRAJ34","TRBV7-9","TRBJ2-2",5
"TRAV12-2","TRAJ30","TRBV20-1","TRBJ2-1",5
"TRAV12-2","TRAJ33","TRBV9","TRBJ2-7",5
"TRAV12-2","TRAJ42","TRBV19","TRBJ2-3",5
"TRAV12-2","TRAJ45","TRBV7-9","TRBJ1-1",5
"TRAV13-1","TRAJ42","TRBV19","TRBJ2-1",5
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ1-1",5
"TRAV13-1","TRAJ50","TRBV2","TRBJ2-2",5
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ1-1",5
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ1-6",5
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ2-1",5
"TRAV13-2","TRAJ45","TRBV5-6","TRBJ1-1",5
"TRAV13-2","TRAJ45","TRBV5-6","TRBJ2-1",5
"TRAV14/DV4","TRAJ22","TRBV11-3","TRBJ2-2",5
"TRAV17","TRAJ52","TRBV19","TRBJ1-5",5
"TRAV19","TRAJ36","TRBV9","TRBJ2-3",5
"TRAV19","TRAJ6","TRBV19","TRBJ1-1",5
"TRAV21","TRAJ42","TRBV7-9","TRBJ2-7",5
"TRAV21","TRAJ6","TRBV6-5","TRBJ2-2",5
"TRAV23/DV6","TRAJ42","TRBV19","TRBJ2-7",5
"TRAV23/DV6","TRAJ48","TRBV4-3","TRBJ1-1",5
"TRAV25","TRAJ42","TRBV19","TRBJ1-1",5
"TRAV27","TRAJ30","TRBV19","TRBJ2-7",5
"TRAV27","TRAJ37","TRBV19","TRBJ1-5",5
"TRAV27","TRAJ42","TRBV20-1","TRBJ2-7",5
"TRAV29/DV5","TRAJ42","TRBV19","TRBJ2-3",5
"TRAV29/DV5","TRAJ50","TRBV19","TRBJ1-5",5
"TRAV3","TRAJ36","TRBV19","TRBJ2-3",5
"TRAV35","TRAJ42","TRBV19","TRBJ1-1",5
"TRAV35","TRAJ50","TRBV11-1","TRBJ1-2",5
"TRAV38-1","TRAJ43","TRBV4-1","TRBJ2-7",5
"TRAV38-1","TRAJ52","TRBV15","TRBJ1-2",5
"TRAV38-2/DV8","TRAJ42","TRBV20-1","TRBJ1-5",5
"TRAV38-2/DV8","TRAJ42","TRBV4-1","TRBJ1-5",5
"TRAV4","TRAJ15","TRBV5-6","TRBJ1-2",5
"TRAV5","TRAJ42","TRBV19","TRBJ2-1",5
"TRAV8-1","TRAJ29","TRBV11-3","TRBJ1-1",5
"TRAV8-3","TRAJ43","TRBV12-3","TRBJ2-5",5
"TRAV9-2","TRAJ40","TRBV27","TRBJ2-5",5
"TRAV1-2","TRAJ13","TRBV28","TRBJ2-2",4
"TRAV1-2","TRAJ20","TRBV19","TRBJ1-5",4
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ1-2",4
"TRAV1-2","TRAJ33","TRBV4-1","TRBJ2-2",4
"TRAV1-2","TRAJ33","TRBV4-2","TRBJ2-7",4
"TRAV1-2","TRAJ33","TRBV6-2","TRBJ2-2",4
"TRAV1-2","TRAJ33","TRBV6-3","TRBJ2-7",4
"TRAV1-2","TRAJ6","TRBV19","TRBJ1-5",4
"TRAV12-1","TRAJ15","TRBV20-1","TRBJ2-2",4
"TRAV12-1","TRAJ30","TRBV7-9","TRBJ2-7",4
"TRAV12-1","TRAJ34","TRBV7-9","TRBJ1-1",4
"TRAV12-1","TRAJ43","TRBV20-1","TRBJ2-2",4
"TRAV12-1","TRAJ5","TRBV19","TRBJ1-1",4
"TRAV12-2","TRAJ26","TRBV3-1","TRBJ1-1",4
"TRAV12-2","TRAJ31","TRBV14","TRBJ2-7",4
"TRAV12-2","TRAJ31","TRBV27","TRBJ2-3",4
"TRAV12-2","TRAJ37","TRBV19","TRBJ2-7",4
"TRAV12-2","TRAJ42","TRBV19","TRBJ1-1",4
"TRAV12-2","TRAJ42","TRBV19","TRBJ1-5",4
"TRAV12-2","TRAJ43","TRBV20-1","TRBJ2-7",4
"TRAV12-2","TRAJ45","TRBV19","TRBJ2-2",4
"TRAV12-2","TRAJ49","TRBV20-1","TRBJ1-2",4
"TRAV12-2","TRAJ52","TRBV19","TRBJ2-1",4
"TRAV12-3","TRAJ39","TRBV4-1","TRBJ1-2",4
"TRAV13-1","TRAJ11","TRBV5-4","TRBJ2-7",4
"TRAV13-1","TRAJ37","TRBV19","TRBJ1-1",4
"TRAV13-1","TRAJ42","TRBV19","TRBJ1-2",4
"TRAV13-1","TRAJ50","TRBV29-1","TRBJ2-1",4
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ2-3",4
"TRAV13-1","TRAJ50","TRBV9","TRBJ2-2",4
"TRAV13-2","TRAJ42","TRBV19","TRBJ2-2",4
"TRAV13-2","TRAJ45","TRBV29-1","TRBJ2-7",4
"TRAV13-2","TRAJ45","TRBV9","TRBJ1-1",4
"TRAV14/DV4","TRAJ22","TRBV12-4","TRBJ2-2",4
"TRAV14/DV4","TRAJ22","TRBV5-6","TRBJ2-5",4
"TRAV14/DV4","TRAJ30","TRBV9","TRBJ2-2",4
"TRAV14/DV4","TRAJ33","TRBV9","TRBJ2-3",4
"TRAV14/DV4","TRAJ49","TRBV9","TRBJ2-5",4
"TRAV16","TRAJ30","TRBV19","TRBJ2-2",4
"TRAV17","TRAJ10","TRBV27","TRBJ1-2",4
"TRAV17","TRAJ15","TRBV19","TRBJ2-1",4
"TRAV17","TRAJ20","TRBV27","TRBJ2-1",4
"TRAV19","TRAJ23","TRBV19","TRBJ2-7",4
"TRAV19","TRAJ40","TRBV20-1","TRBJ2-7",4
"TRAV19","TRAJ52","TRBV19","TRBJ1-2",4
"TRAV19","TRAJ6","TRBV19","TRBJ1-5",4
"TRAV21","TRAJ37","TRBV19","TRBJ2-7",4
"TRAV21","TRAJ41","TRBV6-6","TRBJ2-5",4
"TRAV21","TRAJ50","TRBV3-1","TRBJ2-7",4
"TRAV23/DV6","TRAJ33","TRBV19","TRBJ1-5",4
"TRAV24","TRAJ33","TRBV10-2","TRBJ2-3",4
"TRAV24","TRAJ37","TRBV19","TRBJ2-3",4
"TRAV27","TRAJ30","TRBV2","TRBJ1-2",4
"TRAV27","TRAJ42","TRBV19","TRBJ1-6",4
"TRAV27","TRAJ42","TRBV7-9","TRBJ1-1",4
"TRAV29/DV5","TRAJ31","TRBV29-1","TRBJ2-1",4
"TRAV29/DV5","TRAJ39","TRBV12-3","TRBJ2-5",4
"TRAV29/DV5","TRAJ48","TRBV7-9","TRBJ2-1",4
"TRAV29/DV5","TRAJ48","TRBV9","TRBJ1-2",4
"TRAV3","TRAJ12","TRBV7-9","TRBJ1-6",4
"TRAV3","TRAJ12","TRBV7-9","TRBJ2-7",4
"TRAV3","TRAJ26","TRBV20-1","TRBJ2-1",4
"TRAV3","TRAJ26","TRBV20-1","TRBJ2-7",4
"TRAV3","TRAJ26","TRBV28","TRBJ1-1",4
"TRAV3","TRAJ27","TRBV19","TRBJ2-1",4
"TRAV3","TRAJ31","TRBV12-4","TRBJ1-1",4
"TRAV3","TRAJ33","TRBV6-5","TRBJ2-3",4
"TRAV3","TRAJ36","TRBV19","TRBJ1-2",4
"TRAV34","TRAJ52","TRBV19","TRBJ1-2",4
"TRAV35","TRAJ42","TRBV19","TRBJ2-5",4
"TRAV35","TRAJ49","TRBV19","TRBJ2-7",4
"TRAV38-1","TRAJ53","TRBV27","TRBJ2-2",4
"TRAV38-2/DV8","TRAJ39","TRBV27","TRBJ2-3",4
"TRAV38-2/DV8","TRAJ43","TRBV19","TRBJ2-1",4
"TRAV38-2/DV8","TRAJ43","TRBV2","TRBJ2-2",4
"TRAV39","TRAJ52","TRBV19","TRBJ1-5",4
"TRAV4","TRAJ13","TRBV20-1","TRBJ1-4",4
"TRAV41","TRAJ33","TRBV19","TRBJ2-1",4
"TRAV5","TRAJ23","TRBV19","TRBJ2-3",4
"TRAV5","TRAJ31","TRBV4-2","TRBJ2-2",4
"TRAV5","TRAJ4","TRBV20-1","TRBJ1-2",4
"TRAV5","TRAJ42","TRBV19","TRBJ1-1",4
"TRAV5","TRAJ6","TRBV4-2","TRBJ2-2",4
"TRAV8-3","TRAJ37","TRBV19","TRBJ2-7",4
"TRAV8-3","TRAJ40","TRBV13","TRBJ2-7",4
"TRAV8-3","TRAJ42","TRBV19","TRBJ2-1",4
"TRAV8-4","TRAJ20","TRBV24-1","TRBJ1-5",4
"TRAV8-4","TRAJ20","TRBV7-8","TRBJ1-2",4
"TRAV8-6","TRAJ23","TRBV19","TRBJ2-7",4
"TRAV1-1","TRAJ23","TRBV7-9","TRBJ2-2",3
"TRAV1-1","TRAJ33","TRBV27","TRBJ2-7",3
"TRAV1-1","TRAJ42","TRBV2","TRBJ2-5",3
"TRAV1-1","TRAJ48","TRBV29-1","TRBJ2-5",3
"TRAV1-2","TRAJ12","TRBV19","TRBJ2-7",3
"TRAV1-2","TRAJ12","TRBV6-4","TRBJ2-1",3
"TRAV1-2","TRAJ20","TRBV20-1","TRBJ2-2",3
"TRAV1-2","TRAJ20","TRBV20-1","TRBJ2-7",3
"TRAV1-2","TRAJ20","TRBV27","TRBJ2-2",3
"TRAV1-2","TRAJ20","TRBV6-3","TRBJ1-5",3
"TRAV1-2","TRAJ28","TRBV9","TRBJ2-1",3
"TRAV1-2","TRAJ31","TRBV27","TRBJ2-3",3
"TRAV1-2","TRAJ33","TRBV11-2","TRBJ1-2",3
"TRAV1-2","TRAJ33","TRBV15","TRBJ2-2",3
"TRAV1-2","TRAJ33","TRBV19","TRBJ1-1",3
"TRAV1-2","TRAJ33","TRBV20-1","TRBJ1-6",3
"TRAV1-2","TRAJ33","TRBV24-1","TRBJ2-1",3
"TRAV1-2","TRAJ33","TRBV24-1","TRBJ2-2",3
"TRAV1-2","TRAJ33","TRBV27","TRBJ2-7",3
"TRAV1-2","TRAJ33","TRBV4-1","TRBJ2-1",3
"TRAV1-2","TRAJ33","TRBV6-1","TRBJ2-6",3
"TRAV1-2","TRAJ33","TRBV6-4","TRBJ2-5",3
"TRAV1-2","TRAJ33","TRBV6-5","TRBJ2-7",3
"TRAV1-2","TRAJ33","TRBV7-9","TRBJ1-5",3
"TRAV1-2","TRAJ33","TRBV7-9","TRBJ2-1",3
"TRAV1-2","TRAJ38","TRBV4-1","TRBJ1-1",3
"TRAV1-2","TRAJ4","TRBV14","TRBJ1-1",3
"TRAV10","TRAJ27","TRBV19","TRBJ2-7",3
"TRAV10","TRAJ42","TRBV19","TRBJ1-5",3
"TRAV12-1","TRAJ12","TRBV2","TRBJ2-1",3
"TRAV12-1","TRAJ20","TRBV11-2","TRBJ2-2",3
"TRAV12-1","TRAJ23","TRBV7-9","TRBJ2-6",3
"TRAV12-1","TRAJ31","TRBV7-9","TRBJ2-6",3
"TRAV12-1","TRAJ33","TRBV6-1","TRBJ2-7",3
"TRAV12-1","TRAJ39","TRBV29-1","TRBJ2-7",3
"TRAV12-1","TRAJ4","TRBV3-1","TRBJ1-1",3
"TRAV12-1","TRAJ42","TRBV19","TRBJ2-1",3
"TRAV12-1","TRAJ42","TRBV19","TRBJ2-3",3
"TRAV12-1","TRAJ43","TRBV6-5","TRBJ2-2",3
"TRAV12-1","TRAJ43","TRBV7-8","TRBJ2-2",3
"TRAV12-1","TRAJ49","TRBV6-1","TRBJ1-2",3
"TRAV12-1","TRAJ49","TRBV7-9","TRBJ2-2",3
"TRAV12-2","TRAJ15","TRBV2","TRBJ1-1",3
"TRAV12-2","TRAJ23","TRBV6-4","TRBJ1-1",3
"TRAV12-2","TRAJ26","TRBV9","TRBJ2-7",3
"TRAV12-2","TRAJ27","TRBV30","TRBJ2-2",3
"TRAV12-2","TRAJ3","TRBV19","TRBJ2-7",3
"TRAV12-2","TRAJ30","TRBV15","TRBJ2-7",3
"TRAV12-2","TRAJ30","TRBV27","TRBJ2-7",3
"TRAV12-2","TRAJ30","TRBV7-2","TRBJ1-2",3
"TRAV12-2","TRAJ30","TRBV9","TRBJ2-7",3
"TRAV12-2","TRAJ31","TRBV20-1","TRBJ1-1",3
"TRAV12-2","TRAJ39","TRBV7-9","TRBJ1-1",3
"TRAV12-2","TRAJ4","TRBV6-5","TRBJ2-7",3
"TRAV12-2","TRAJ41","TRBV5-6","TRBJ2-7",3
"TRAV12-2","TRAJ42","TRBV19","TRBJ2-5",3
"TRAV12-2","TRAJ43","TRBV19","TRBJ2-7",3
"TRAV12-2","TRAJ45","TRBV19","TRBJ1-2",3
"TRAV12-2","TRAJ45","TRBV24-1","TRBJ2-5",3
"TRAV12-2","TRAJ45","TRBV27","TRBJ2-7",3
"TRAV12-2","TRAJ45","TRBV6-5","TRBJ2-7",3
"TRAV12-2","TRAJ47","TRBV18","TRBJ2-7",3
"TRAV12-2","TRAJ49","TRBV19","TRBJ2-7",3
"TRAV12-2","TRAJ49","TRBV27","TRBJ2-7",3
"TRAV12-2","TRAJ52","TRBV27","TRBJ1-1",3
"TRAV12-2","TRAJ52","TRBV27","TRBJ2-7",3
"TRAV12-2","TRAJ53","TRBV19","TRBJ1-1",3
"TRAV12-2","TRAJ53","TRBV29-1","TRBJ2-7",3
"TRAV12-3","TRAJ39","TRBV19","TRBJ2-1",3
"TRAV12-3","TRAJ39","TRBV7-9","TRBJ2-2",3
"TRAV12-3","TRAJ39","TRBV7-9","TRBJ2-7",3
"TRAV12-3","TRAJ42","TRBV19","TRBJ2-1",3
"TRAV12-3","TRAJ52","TRBV19","TRBJ1-2",3
"TRAV13-1","TRAJ10","TRBV6-3","TRBJ2-7",3
"TRAV13-1","TRAJ11","TRBV9","TRBJ1-1",3
"TRAV13-1","TRAJ37","TRBV19","TRBJ2-7",3
"TRAV13-1","TRAJ42","TRBV12-3","TRBJ2-2",3
"TRAV13-1","TRAJ42","TRBV19","TRBJ2-7",3
"TRAV13-1","TRAJ42","TRBV7-9","TRBJ2-3",3
"TRAV13-1","TRAJ43","TRBV19","TRBJ1-1",3
"TRAV13-1","TRAJ47","TRBV12-4","TRBJ2-2",3
"TRAV13-1","TRAJ48","TRBV6-5","TRBJ2-7",3
"TRAV13-1","TRAJ50","TRBV11-2","TRBJ1-2",3
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ1-4",3
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ2-1",3
"TRAV13-1","TRAJ50","TRBV12-3","TRBJ2-7",3
"TRAV13-1","TRAJ50","TRBV12-4","TRBJ2-2",3
"TRAV13-1","TRAJ50","TRBV18","TRBJ2-2",3
"TRAV13-1","TRAJ50","TRBV19","TRBJ1-2",3
"TRAV13-1","TRAJ50","TRBV20-1","TRBJ2-7",3
"TRAV13-1","TRAJ50","TRBV5-4","TRBJ2-1",3
"TRAV13-1","TRAJ50","TRBV5-6","TRBJ1-1",3
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ1-3",3
"TRAV13-1","TRAJ50","TRBV7-9","TRBJ1-4",3
"TRAV13-1","TRAJ54","TRBV27","TRBJ1-1",3
"TRAV13-2","TRAJ42","TRBV19","TRBJ1-4",3
"TRAV13-2","TRAJ45","TRBV20-1","TRBJ2-7",3
"TRAV13-2","TRAJ45","TRBV27","TRBJ2-7",3
"TRAV13-2","TRAJ45","TRBV4-1","TRBJ1-1",3
"TRAV13-2","TRAJ45","TRBV5-1","TRBJ2-5",3
"TRAV13-2","TRAJ45","TRBV9","TRBJ2-2",3
"TRAV13-2","TRAJ5","TRBV19","TRBJ1-1",3
"TRAV14/DV4","TRAJ12","TRBV7-9","TRBJ2-7",3
"TRAV14/DV4","TRAJ22","TRBV20-1","TRBJ1-4",3
"TRAV14/DV4","TRAJ22","TRBV29-1","TRBJ2-2",3
"TRAV14/DV4","TRAJ22","TRBV6-3","TRBJ2-1",3
"TRAV14/DV4","TRAJ33","TRBV19","TRBJ1-5",3
"TRAV14/DV4","TRAJ33","TRBV19","TRBJ2-3",3
"TRAV14/DV4","TRAJ33","TRBV27","TRBJ1-1",3
"TRAV14/DV4","TRAJ33","TRBV9","TRBJ2-5",3
"TRAV14/DV4","TRAJ42","TRBV19","TRBJ2-1",3
"TRAV14/DV4","TRAJ43","TRBV19","TRBJ2-3",3
"TRAV14/DV4","TRAJ48","TRBV9","TRBJ2-3",3
"TRAV14/DV4","TRAJ49","TRBV19","TRBJ2-7",3
"TRAV14/DV4","TRAJ52","TRBV19","TRBJ1-1",3
"TRAV14/DV4","TRAJ54","TRBV7-9","TRBJ2-7",3
"TRAV14/DV4","TRAJ9","TRBV7-3","TRBJ2-3",3
"TRAV16","TRAJ48","TRBV29-1","TRBJ2-5",3
"TRAV17","TRAJ20","TRBV5-1","TRBJ2-5",3
"TRAV17","TRAJ22","TRBV7-3","TRBJ2-2",3
"TRAV17","TRAJ23","TRBV24-1","TRBJ2-1",3
"TRAV17","TRAJ26","TRBV27","TRBJ2-1",3
"TRAV17","TRAJ29","TRBV11-2","TRBJ2-1",3
"TRAV17","TRAJ34","TRBV9","TRBJ2-3",3
"TRAV17","TRAJ36","TRBV19","TRBJ1-1",3
"TRAV17","TRAJ41","TRBV7-9","TRBJ2-1",3
"TRAV17","TRAJ43","TRBV19","TRBJ1-1",3
"TRAV17","TRAJ53","TRBV19","TRBJ1-2",3
"TRAV17","TRAJ53","TRBV29-1","TRBJ2-7",3
"TRAV17","TRAJ53","TRBV5-1","TRBJ2-1",3
"TRAV17","TRAJ54","TRBV11-3","TRBJ2-3",3
"TRAV17","TRAJ54","TRBV19","TRBJ2-1",3
"TRAV17","TRAJ54","TRBV9","TRBJ2-1",3
"TRAV19","TRAJ13","TRBV4-3","TRBJ2-3",3
"TRAV19","TRAJ23","TRBV5-1","TRBJ2-1",3
"TRAV19","TRAJ26","TRBV5-4","TRBJ1-2",3
"TRAV19","TRAJ28","TRBV19","TRBJ2-1",3
"TRAV19","TRAJ30","TRBV27","TRBJ2-1",3
"TRAV19","TRAJ33","TRBV19","TRBJ1-1",3
"TRAV19","TRAJ33","TRBV19","TRBJ1-5",3
"TRAV19","TRAJ33","TRBV20-1","TRBJ2-7",3
"TRAV19","TRAJ34","TRBV19","TRBJ1-1",3
"TRAV19","TRAJ34","TRBV20-1","TRBJ2-7",3
"TRAV19","TRAJ39","TRBV19","TRBJ2-7",3
"TRAV19","TRAJ4","TRBV4-1","TRBJ2-5",3
"TRAV19","TRAJ40","TRBV19","TRBJ1-1",3
"TRAV19","TRAJ48","TRBV19","TRBJ1-1",3
"TRAV19","TRAJ49","TRBV20-1","TRBJ2-1",3
"TRAV19","TRAJ49","TRBV27","TRBJ2-7",3
"TRAV19","TRAJ52","TRBV19","TRBJ2-1",3
"TRAV19","TRAJ57","TRBV19","TRBJ1-1",3
"TRAV19","TRAJ57","TRBV7-9","TRBJ2-7",3
"TRAV19","TRAJ6","TRBV27","TRBJ2-1",3
"TRAV19","TRAJ9","TRBV11-2","TRBJ1-2",3
"TRAV19","TRAJ9","TRBV7-9","TRBJ1-2",3
"TRAV2","TRAJ23","TRBV29-1","TRBJ2-7",3
"TRAV20","TRAJ53","TRBV9","TRBJ2-2",3
"TRAV21","TRAJ18","TRBV27","TRBJ2-1",3
"TRAV21","TRAJ20","TRBV6-6","TRBJ2-3",3
"TRAV21","TRAJ27","TRBV19","TRBJ1-4",3
"TRAV21","TRAJ28","TRBV27","TRBJ1-2",3
"TRAV21","TRAJ30","TRBV27","TRBJ1-5",3
"TRAV21","TRAJ33","TRBV10-2","TRBJ1-1",3
"TRAV21","TRAJ50","TRBV10-3","TRBJ1-1",3
"TRAV21","TRAJ50","TRBV20-1","TRBJ2-2",3
"TRAV21","TRAJ50","TRBV27","TRBJ2-1",3
